18.422261;1;1
18.136919;2;1
6.742989;4;1
3.788744;8;1
2.877047;32;1
18.178420;1;1
18.174980;2;1
6.810957;4;1
3.794843;8;1
2.860296;32;1
18.601349;1;1
18.243726;2;1
6.819934;4;1
3.751876;8;1
2.898038;32;1
18.308637;1;1
18.173512;2;1
6.745404;4;1
3.686624;8;1
2.725790;32;1
18.173136;1;1
18.221209;2;1
6.755282;4;1
3.683138;8;1
2.778919;32;1
19.020875;1;1
18.239806;2;1
6.723748;4;1
3.705400;8;1
2.744123;32;1
18.397810;1;1
18.271085;2;1
6.772310;4;1
3.699801;8;1
2.808249;32;1
18.494339;1;1
18.190086;2;1
6.775459;4;1
3.660525;8;1
2.806514;32;1
18.205465;1;1
18.207733;2;1
6.734291;4;1
3.639072;8;1
2.799218;32;1
18.183102;1;1
18.261587;2;1
6.708168;4;1
3.616350;8;1
2.753280;32;1
18.888239;1;1
18.153903;2;1
6.850943;4;1
3.985861;8;1
2.854341;32;1
19.254671;1;1
18.945621;2;1
7.063521;4;1
3.845671;8;1
2.895487;32;1
18.786771;1;1
18.270597;2;1
6.846353;4;1
3.718003;8;1
2.920983;32;1
18.836557;1;1
18.196901;2;1
6.716439;4;1
3.732670;8;1
2.725891;32;1
18.176924;1;1
18.365738;2;1
6.822696;4;1
3.826904;8;1
2.790642;32;1
2.272985;16;1
2.240062;16;1
2.382214;16;1
2.391779;16;1
2.413348;16;1
2.461020;16;1
2.499732;16;1
2.481169;16;1
2.513991;16;1
2.510001;16;1
2.540888;16;1
2.526405;16;1
2.520260;16;1
2.500697;16;1
2.532459;16;1

