16;0.000165;1
16;0.000126;2
16;0.000155;4
16;0.000230;8
16;0.000268;16
16;0.000584;32
16;0.000130;1
16;0.000121;2
16;0.000123;4
16;0.000154;8
16;0.000257;16
16;0.000532;32
16;0.000099;1
16;0.000118;2
16;0.000118;4
16;0.000159;8
16;0.000319;16
16;0.000601;32
16;0.000089;1
16;0.000075;2
16;0.000069;4
16;0.000112;8
16;0.000247;16
16;0.000498;32
16;0.000124;1
16;0.000099;2
16;0.000095;4
16;0.000112;8
16;0.000237;16
16;0.000524;32
16;0.000153;1
16;0.000134;2
16;0.000133;4
16;0.000132;8
16;0.000292;16
16;0.000574;32
16;0.000126;1
16;0.000107;2
16;0.000084;4
16;0.000138;8
16;0.000242;16
16;0.000509;32
16;0.000145;1
16;0.000102;2
16;0.000138;4
16;0.000161;8
16;0.000339;16
16;0.000568;32
16;0.000160;1
16;0.000101;2
16;0.000136;4
16;0.000160;8
16;0.000296;16
16;0.000524;32
16;0.000139;1
16;0.000124;2
16;0.000082;4
16;0.000129;8
16;0.000351;16
16;0.000560;32
32;0.000230;1
32;0.000191;2
32;0.000224;4
32;0.000181;8
32;0.000271;16
32;0.000510;32
32;0.000228;1
32;0.000134;2
32;0.000126;4
32;0.000155;8
32;0.000317;16
32;0.000587;32
32;0.000213;1
32;0.000279;2
32;0.000242;4
32;0.000247;8
32;0.000398;16
32;0.000692;32
32;0.000228;1
32;0.000145;2
32;0.000131;4
32;0.000267;8
32;0.000313;16
32;0.000545;32
32;0.000209;1
32;0.000215;2
32;0.000237;4
32;0.000153;8
32;0.000329;16
32;0.000828;32
32;0.000213;1
32;0.000139;2
32;0.000128;4
32;0.000158;8
32;0.000252;16
32;0.000526;32
32;0.000240;1
32;0.000208;2
32;0.000143;4
32;0.000180;8
32;0.000275;16
32;0.000499;32
32;0.000211;1
32;0.000167;2
32;0.000199;4
32;0.000154;8
32;0.000249;16
32;0.000594;32
32;0.000213;1
32;0.000180;2
32;0.000144;4
32;0.000201;8
32;0.000262;16
32;0.000479;32
32;0.000213;1
32;0.000139;2
32;0.000137;4
32;0.000159;8
32;0.000244;16
32;0.000516;32
64;0.000709;1
64;0.000467;2
64;0.000499;4
64;0.000437;8
64;0.000389;16
64;0.000638;32
64;0.000758;1
64;0.000498;2
64;0.000471;4
64;0.000424;8
64;0.000455;16
64;0.001001;32
64;0.000724;1
64;0.000441;2
64;0.000517;4
64;0.000441;8
64;0.000359;16
64;0.000689;32
64;0.000743;1
64;0.000520;2
64;0.000457;4
64;0.000403;8
64;0.000400;16
64;0.001917;32
64;0.000695;1
64;0.000456;2
64;0.000504;4
64;0.000532;8
64;0.000465;16
64;0.000662;32
64;0.000671;1
64;0.000489;2
64;0.000530;4
64;0.000441;8
64;0.000440;16
64;0.000655;32
64;0.000781;1
64;0.000457;2
64;0.000414;4
64;0.000425;8
64;0.000453;16
64;0.000773;32
64;0.000776;1
64;0.000414;2
64;0.000400;4
64;0.000366;8
64;0.000360;16
64;0.000591;32
64;0.000760;1
64;0.000432;2
64;0.000476;4
64;0.000440;8
64;0.000466;16
64;0.000865;32
64;0.000835;1
64;0.000497;2
64;0.000464;4
64;0.000467;8
64;0.000427;16
64;0.000801;32
128;0.002722;1
128;0.001434;2
128;0.001411;4
128;0.001228;8
128;0.000965;16
128;0.001367;32
128;0.002718;1
128;0.001567;2
128;0.001487;4
128;0.001160;8
128;0.001029;16
128;0.001118;32
128;0.002683;1
128;0.001500;2
128;0.001442;4
128;0.001200;8
128;0.001019;16
128;0.001198;32
128;0.002688;1
128;0.001684;2
128;0.001410;4
128;0.001357;8
128;0.001141;16
128;0.001623;32
128;0.002505;1
128;0.001449;2
128;0.001505;4
128;0.001180;8
128;0.001126;16
128;0.001296;32
128;0.002505;1
128;0.001481;2
128;0.001472;4
128;0.001206;8
128;0.001056;16
128;0.001345;32
128;0.002657;1
128;0.001510;2
128;0.001460;4
128;0.001220;8
128;0.000957;16
128;0.001275;32
128;0.002597;1
128;0.001716;2
128;0.001670;4
128;0.001188;8
128;0.001043;16
128;0.001169;32
128;0.002501;1
128;0.001570;2
128;0.001457;4
128;0.001187;8
128;0.001038;16
128;0.001359;32
128;0.002867;1
128;0.001455;2
128;0.001391;4
128;0.001189;8
128;0.001062;16
128;0.001109;32
256;0.010544;1
256;0.005518;2
256;0.004970;4
256;0.004007;8
256;0.002915;16
256;0.002712;32
256;0.010064;1
256;0.005396;2
256;0.005115;4
256;0.004867;8
256;0.002964;16
256;0.002879;32
256;0.010102;1
256;0.005740;2
256;0.005023;4
256;0.004023;8
256;0.002988;16
256;0.002777;32
256;0.009949;1
256;0.005677;2
256;0.005161;4
256;0.004026;8
256;0.002943;16
256;0.002950;32
256;0.010948;1
256;0.005420;2
256;0.005439;4
256;0.004418;8
256;0.003138;16
256;0.002813;32
256;0.010433;1
256;0.005651;2
256;0.005098;4
256;0.004047;8
256;0.002924;16
256;0.002813;32
256;0.010859;1
256;0.005603;2
256;0.005190;4
256;0.004411;8
256;0.003971;16
256;0.002974;32
256;0.010639;1
256;0.005876;2
256;0.005105;4
256;0.004076;8
256;0.002822;16
256;0.003095;32
256;0.011483;1
256;0.006428;2
256;0.005388;4
256;0.004075;8
256;0.003210;16
256;0.003460;32
256;0.010716;1
256;0.005567;2
256;0.005198;4
256;0.004549;8
256;0.003715;16
256;0.003429;32
512;0.044102;1
512;0.023237;2
512;0.021024;4
512;0.016247;8
512;0.012915;16
512;0.009112;32
512;0.041004;1
512;0.021641;2
512;0.019638;4
512;0.015732;8
512;0.012767;16
